site,slope_10_years,trend_10_years
Site_1,-0.4605617304496725,Stable
Site_2,-0.48319500147439814,Stable
Site_3,-0.40905786410986217,Stable
Site_4,-0.4283350787758828,Stable
Site_5,-0.43731369937214676,Stable
Site_6,-0.40438850766876794,Stable
Site_7,-0.3592892420834953,Stable
Site_8,-0.47407744259656065,Stable
Site_9,-0.39532711765949113,Stable
Site_10,-0.4631422813050128,Stable
Site_11,-0.4607100580520487,Stable
Site_12,-0.4148021718578559,Stable
Site_13,-0.47610302181982467,Stable
Site_14,-0.5099434843631547,Falling
Site_15,-0.4308610256494627,Stable
Site_16,-0.4222096543327685,Stable
Site_17,-0.41293087604552486,Stable
Site_18,-0.46385125665535654,Stable
Site_19,-0.3609849212747402,Stable
Site_20,-0.4828674775644724,Stable
Site_21,-0.4158489197661728,Stable
Site_22,-0.39797688359089933,Stable
Site_23,-0.5045930560283903,Falling
Site_24,-0.4258426095958624,Stable
Site_25,-0.44775727865362897,Stable
Site_26,-0.4900500352463384,Stable
Site_27,-0.3479249714928621,Stable
Site_28,-0.431603550831296,Stable
Site_29,-0.3654776815376264,Stable
Site_30,-0.3616936352832939,Stable
Site_31,-0.4407724371102807,Stable
Site_32,-0.45431052213938256,Stable
Site_33,-0.4396536474581495,Stable
Site_34,-0.37677236307398654,Stable
Site_35,-0.42111184479461455,Stable
Site_36,-0.443744053999668,Stable
Site_37,-0.435021511656604,Stable
Site_38,-0.3761969719788438,Stable
Site_39,-0.39205580817892216,Stable
Site_40,-0.45405238985361035,Stable
Site_41,-0.37363651090358446,Stable
Site_42,-0.42076929341532476,Stable
Site_43,-0.4407386714977984,Stable
Site_44,-0.39861864474348924,Stable
Site_45,-0.43795134106939043,Stable
Site_46,-0.36134588870762957,Stable
Site_47,-0.3731829582372021,Stable
Site_48,-0.372587442558594,Stable
Site_49,-0.47884201920387565,Stable
Site_50,-0.42535809014203557,Stable
Site_51,-0.5241312783726676,Falling
Site_52,-0.39802595952935504,Stable
Site_53,-0.5013434189327871,Falling
Site_54,-0.4076029547442061,Stable
Site_55,-0.4329379816314067,Stable
Site_56,-0.4354467166485472,Stable
Site_57,-0.3676192237452743,Stable
Site_58,-0.513800338035798,Falling
Site_59,-0.3610950303295674,Stable
Site_60,-0.4715621797297431,Stable
Site_61,-0.44612230605971515,Stable
Site_62,-0.432041087612145,Stable
Site_63,-0.43039145140245166,Stable
Site_64,-0.3947752055614537,Stable
Site_65,-0.4251157484689685,Stable
Site_66,-0.3889666532937274,Stable
Site_67,-0.3124962387031384,Stable
Site_68,-0.4281512985459791,Stable
Site_69,-0.3943259077672299,Stable
Site_70,-0.4137085950442523,Stable
Site_71,-0.3816941181011755,Stable
Site_72,-0.3571987906139702,Stable
Site_73,-0.3332330149983618,Stable
Site_74,-0.4770874026928912,Stable
Site_75,-0.34532041199616215,Stable
Site_76,-0.36568867232042396,Stable
Site_77,-0.37421071235571224,Stable
Site_78,-0.37920345933003025,Stable
Site_79,-0.41375373630170637,Stable
Site_80,-0.3716833486679162,Stable
Site_81,-0.39404535387450845,Stable
Site_82,-0.45909161326982856,Stable
Site_83,-0.5724199496806174,Falling
Site_84,-0.5472552024734513,Falling
Site_85,-0.45083632916662497,Stable
Site_86,-0.39396638119453004,Stable
Site_87,-0.45659784687269284,Stable
Site_88,-0.42375752797242816,Stable
Site_89,-0.40420561587439896,Stable
Site_90,-0.47416295198524816,Stable
Site_91,-0.3829163636662752,Stable
Site_92,-0.4044386859253847,Stable
Site_93,-0.3578955955365612,Stable
Site_94,-0.47597704431926247,Stable
Site_95,-0.4594735462625594,Stable
Site_96,-0.3856082720688229,Stable
Site_97,-0.4511255731484871,Stable
Site_98,-0.3041126731152088,Stable
Site_99,-0.43603541149625513,Stable
Site_100,-0.421635053590891,Stable
Site_101,-0.33743078745508776,Stable
Site_102,-0.34458526196824973,Stable
Site_103,-0.3624906385219092,Stable
Site_104,-0.4637146470367246,Stable
Site_105,-0.45943042549987095,Stable
Site_106,-0.3561761715768981,Stable
Site_107,-0.5066849306400157,Falling
Site_108,-0.4033808192843659,Stable
Site_109,-0.35100026893525094,Stable
Site_110,-0.4496299811555533,Stable
Site_111,-0.3545721967770793,Stable
Site_112,-0.4088663081706998,Stable
Site_113,-0.3508847697850881,Stable
Site_114,-0.3958158419951517,Stable
Site_115,-0.408564860856071,Stable
Site_116,-0.44848276346479155,Stable
Site_117,-0.3683149295136495,Stable
Site_118,-0.41196244904468177,Stable
Site_119,-0.3825966869707505,Stable
Site_120,-0.44262420126229096,Stable
Site_121,-0.5346788887721776,Falling
Site_122,-0.3698803927846929,Stable
Site_123,-0.4384939802797653,Stable
Site_124,-0.40776774244987607,Stable
Site_125,-0.4674869537924898,Stable
Site_126,-0.42173020604870215,Stable
Site_127,-0.45303314547942225,Stable
Site_128,-0.39234629305969454,Stable
Site_129,-0.38908680597302125,Stable
Site_130,-0.40607393504801503,Stable
Site_131,-0.3817429611733399,Stable
Site_132,-0.4080308047934985,Stable
Site_133,-0.37787366877047374,Stable
Site_134,-0.42961434684168476,Stable
Site_135,-0.44178902946644016,Stable
Site_136,-0.4385644109431929,Stable
Site_137,-0.4069452675621038,Stable
Site_138,-0.4351135887606559,Stable
Site_139,-0.5120643546249899,Falling
Site_140,-0.453110865870277,Stable
Site_141,-0.40311134046192293,Stable
Site_142,-0.4210391133109708,Stable
Site_143,-0.4028383869959241,Stable
Site_144,-0.36319148316844596,Stable
Site_145,-0.4287010465061875,Stable
Site_146,-0.373493642370535,Stable
Site_147,-0.40273169879756937,Stable
Site_148,-0.39365768275258717,Stable
Site_149,-0.409712941037999,Stable
Site_150,-0.39330335833693697,Stable
Site_151,-0.42046680073353393,Stable
Site_152,-0.4203884171799611,Stable
Site_153,-0.3692949226289031,Stable
Site_154,-0.4467249121372664,Stable
Site_155,-0.49028593323064507,Stable
Site_156,-0.4095765427708233,Stable
Site_157,-0.41925169619047775,Stable
Site_158,-0.3698915216420091,Stable
Site_159,-0.45785090292639785,Stable
Site_160,-0.47261867321899015,Stable
Site_161,-0.3623548502631842,Stable
Site_162,-0.39911747914644147,Stable
Site_163,-0.4407598648616141,Stable
Site_164,-0.38100445736459426,Stable
Site_165,-0.3766680351779954,Stable
Site_166,-0.40865820163943123,Stable
Site_167,-0.4757045610154108,Stable
Site_168,-0.39553635055488745,Stable
Site_169,-0.39446947996147746,Stable
Site_170,-0.4063791658071301,Stable
Site_171,-0.38844093485691955,Stable
Site_172,-0.49456257332440434,Stable
Site_173,-0.36464031902682703,Stable
Site_174,-0.5124263642611019,Falling
Site_175,-0.3897118690937055,Stable
Site_176,-0.4094345114174093,Stable
Site_177,-0.3950251204513588,Stable
Site_178,-0.37998845033809164,Stable
Site_179,-0.42083527304205115,Stable
Site_180,-0.43370536908675633,Stable
Site_181,-0.37262990079136243,Stable
Site_182,-0.3921223408630979,Stable
Site_183,-0.45699861988753754,Stable
Site_184,-0.40846055067815673,Stable
Site_185,-0.41313442839551506,Stable
Site_186,-0.3772993344326898,Stable
Site_187,-0.3268335543875682,Stable
Site_188,-0.4395463903826136,Stable
Site_189,-0.35537849315259556,Stable
Site_190,-0.44939835829264824,Stable
Site_191,-0.4301961506189273,Stable
Site_192,-0.5395786879250102,Falling
Site_193,-0.416642007940237,Stable
Site_194,-0.5106187700356928,Falling
Site_195,-0.4483428759999661,Stable
Site_196,-0.37752536660620717,Stable
Site_197,-0.5051901840529504,Falling
Site_198,-0.434807727111092,Stable
Site_199,-0.3868320217730086,Stable
Site_200,-0.3632458327690985,Stable
Site_201,-0.42243299335697115,Stable
Site_202,-0.3983580515419254,Stable
Site_203,-0.4501504360547885,Stable
Site_204,-0.32814244456453256,Stable
Site_205,-0.4202765008802059,Stable
Site_206,-0.36915506047563723,Stable
Site_207,-0.3613123015415962,Stable
Site_208,-0.4809671234558372,Stable
Site_209,-0.41523025857018353,Stable
Site_210,-0.2403035563998329,Stable
Site_211,-0.4595343901750653,Stable
Site_212,-0.3178878913324372,Stable
Site_213,-0.4156846699310005,Stable
Site_214,-0.38781027345336977,Stable
Site_215,-0.367019463319125,Stable
Site_216,-0.37414468716818194,Stable
Site_217,-0.4574876732734044,Stable
Site_218,-0.4994657730844458,Stable
Site_219,-0.4113109125700976,Stable
Site_220,-0.4144497369496744,Stable
Site_221,-0.47900856669533465,Stable
Site_222,-0.34960023818172276,Stable
Site_223,-0.3702080540097901,Stable
Site_224,-0.4288445180869925,Stable
Site_225,-0.42171716616908206,Stable
Site_226,-0.3550577331225707,Stable
Site_227,-0.440863556804815,Stable
Site_228,-0.4332300181104133,Stable
Site_229,-0.49255171213675525,Stable
Site_230,-0.38014870094777614,Stable
Site_231,-0.3034323738567171,Stable
Site_232,-0.4023055117173448,Stable
Site_233,-0.4237400262987014,Stable
Site_234,-0.35283569068268317,Stable
Site_235,-0.3859733298487811,Stable
Site_236,-0.4879617245014592,Stable
Site_237,-0.5366744004009305,Falling
Site_238,-0.392927248899893,Stable
Site_239,-0.46869004230825695,Stable
Site_240,-0.4199005331878846,Stable
Site_241,-0.4538639845700749,Stable
Site_242,-0.5104647859338666,Falling
Site_243,-0.448357702242474,Stable
Site_244,-0.39739992571059063,Stable
Site_245,-0.3657277084311567,Stable
Site_246,-0.4843815969818339,Stable
Site_247,-0.4067013420185652,Stable
Site_248,-0.35439144064503,Stable
Site_249,-0.44269611012044224,Stable
Site_250,-0.47545517893370237,Stable
Site_251,-0.4389148164975585,Stable
Site_252,-0.47547129290148277,Stable
Site_253,-0.44766232489149305,Stable
Site_254,-0.3957368560266196,Stable
Site_255,-0.416220228234285,Stable
Site_256,-0.3812878467840914,Stable
Site_257,-0.4446403538302027,Stable
Site_258,-0.38682361011095523,Stable
Site_259,-0.4303909717485183,Stable
Site_260,-0.43337686119017593,Stable
Site_261,-0.3826412327739152,Stable
Site_262,-0.4345605072688519,Stable
Site_263,-0.43645387285753234,Stable
Site_264,-0.43355097746891974,Stable
Site_265,-0.41684871031305487,Stable
Site_266,-0.3643515964629526,Stable
Site_267,-0.36905757998768807,Stable
Site_268,-0.4590634472058064,Stable
Site_269,-0.45100060557893185,Stable
Site_270,-0.46775365720311896,Stable
Site_271,-0.45864700570648986,Stable
Site_272,-0.5106049651143635,Falling
Site_273,-0.4597053614932875,Stable
Site_274,-0.43259689768942605,Stable
Site_275,-0.482903520583982,Stable
Site_276,-0.43382387208552686,Stable
Site_277,-0.4302436844509719,Stable
Site_278,-0.4174700564321027,Stable
Site_279,-0.3535888055857366,Stable
Site_280,-0.37521556458053607,Stable
Site_281,-0.4351733525026291,Stable
Site_282,-0.4548384186353972,Stable
Site_283,-0.4572563731328149,Stable
Site_284,-0.460800148199156,Stable
Site_285,-0.41156212404431686,Stable
Site_286,-0.4220866155035922,Stable
Site_287,-0.4253499290643808,Stable
Site_288,-0.39666587230575306,Stable
Site_289,-0.4391777314013801,Stable
Site_290,-0.5028117763268452,Falling
Site_291,-0.43528424811397265,Stable
Site_292,-0.42665696580283263,Stable
Site_293,-0.31323553096677886,Stable
Site_294,-0.38010359196256194,Stable
Site_295,-0.5042716100552523,Falling
Site_296,-0.4198266981204784,Stable
Site_297,-0.48743466012278075,Stable
Site_298,-0.36307411729118655,Stable
Site_299,-0.447439781915655,Stable
Site_300,-0.441964025321688,Stable
Site_301,-0.39622430276160536,Stable
Site_302,-0.49760365967097087,Stable
Site_303,-0.3686448434670234,Stable
Site_304,-0.3669651409284,Stable
Site_305,-0.388312049058839,Stable
Site_306,-0.4512402566338041,Stable
Site_307,-0.409871711554597,Stable
Site_308,-0.36439388700669006,Stable
Site_309,-0.4566419781991507,Stable
Site_310,-0.3150484608677093,Stable
Site_311,-0.35440836837928763,Stable
