date,norm_level
2013-01-31,25.091894427083336
2013-02-28,25.065575677083334
2013-03-31,25.028303802083332
2013-04-30,25.061178802083333
2013-05-31,25.021422552083333
2013-06-30,23.77955380208333
2013-07-31,22.530497552083332
2013-08-31,21.278528802083333
2013-09-30,20.036081927083334
2013-10-31,20.049381927083335
2013-11-30,20.02552255208333
2013-12-31,20.057556927083333
2014-01-31,20.040644427083336
2014-02-28,20.031819427083335
2014-03-31,20.006969427083334
2014-04-30,20.004956927083335
2014-05-31,20.026238177083332
2014-06-30,18.762219427083334
2014-07-31,17.513650677083334
2014-08-31,16.264994427083334
2014-09-30,15.017281927083333
2014-10-31,15.039122552083334
2014-11-30,15.054066302083333
2014-12-31,15.020510052083335
2015-01-31,15.011166302083334
2015-02-28,14.977653802083335
2015-03-31,14.984806927083334
2015-04-30,14.967203802083334
2015-05-31,14.953069427083333
2015-06-30,13.692266302083333
2015-07-31,12.452388177083332
2015-08-31,11.201172552083333
2015-09-30,9.944288177083333
2015-10-31,9.933606927083334
2015-11-30,9.895397552083333
2015-12-31,9.887191302083334
2016-01-31,9.902231927083333
2016-02-29,9.884806927083334
2016-03-31,9.899035052083333
2016-04-30,9.871469427083333
2016-05-31,9.850644427083333
2016-06-30,8.596894427083333
2016-07-31,7.344850677083334
2016-08-31,6.093338177083333
2016-09-30,4.843960052083333
2016-10-31,4.850603802083333
2016-11-30,4.851460052083333
2016-12-31,4.875925677083333
2017-01-31,4.884225677083333
2017-02-28,4.861350677083334
2017-03-31,4.835072552083333
2017-04-30,4.826613177083333
2017-05-31,4.8108975520833335
2017-06-30,3.5646944270833334
2017-07-31,2.3091413020833333
2017-08-31,1.0614881770833335
2017-09-30,-0.1897243229166669
2017-10-31,-0.20233682291666663
2017-11-30,-0.18645869791666655
2017-12-31,-0.2075024479166665
2018-01-31,-0.20507744791666677
2018-02-28,-0.2205368229166667
2018-03-31,-0.21740869791666675
2018-04-30,-0.23977119791666673
2018-05-31,-0.22929932291666652
2018-06-30,-1.475989947916667
2018-07-31,-2.729533697916667
2018-08-31,-3.9827180729166667
2018-09-30,-5.238196197916667
2018-10-31,-5.258393072916666
2018-11-30,-5.247761822916667
2018-12-31,-5.252330572916667
2019-01-31,-5.2440305729166665
2019-02-28,-5.264327447916667
2019-03-31,-5.271952447916667
2019-04-30,-5.262668072916666
2019-05-31,-5.2494868229166665
2019-06-30,-6.494971197916667
2019-07-31,-7.756033697916666
2019-08-31,-8.997064947916666
2019-09-30,-10.262368072916667
2019-10-31,-10.279549322916667
2019-11-30,-10.289661822916667
2019-12-31,-10.307283697916667
2020-01-31,-10.358946197916666
2020-02-29,-10.352496197916667
2020-03-31,-10.381624322916666
2020-04-30,-10.378305572916666
2020-05-31,-10.402474322916667
2020-06-30,-11.650402447916667
2020-07-31,-12.894349322916666
2020-08-31,-14.153689947916666
2020-09-30,-15.389243072916665
2020-10-31,-15.427705572916667
2020-11-30,-15.443986822916667
2020-12-31,-15.485871197916667
2021-01-31,-15.468361822916668
2021-02-28,-15.474536822916667
2021-03-31,-15.460033697916668
2021-04-30,-15.446127447916668
2021-05-31,-15.449430572916667
2021-06-30,-16.706255572916668
2021-07-31,-17.960708697916665
2021-08-31,-19.211399322916666
2021-09-30,-20.460955572916667
2021-10-31,-20.460864947916665
2021-11-30,-20.450043072916667
2021-12-31,-20.470561822916665
2022-01-31,-20.46615869791667
2022-02-28,-20.430602447916666
2022-03-31,-20.437927447916664
2022-04-30,-20.461496197916667
2022-05-31,-20.427839947916667
2022-06-30,-21.68020869791667
2022-07-31,-22.920127447916666
2022-08-31,-24.171508697916664
2022-09-30,-25.412605572916668
2022-10-31,-25.411430572916665
2022-11-30,-25.384186822916668
2022-12-31,-25.421983697916666
